from,to,relation,weight
PaThDi,jiko,3,99
PaThDi,anti,3,99
adso,PaThDi,3,99
path,PaThDi,3,99
adch,PaThDi,3,99
jiko,PaThDi,3,99
anti,PaThDi,3,99
mora,She,1,99
kafa,She,1,99
fapa,She,1,99
CoFi,She,1,99
EuMeNe,She,1,99
FiInIr,She,1,99
MoFiHaSc,She,2,1
mora,kafa,3,99
mora,fapa,3,99
kafa,mora,3,99
kafa,fapa,3,99
fapa,mora,3,99
fapa,kafa,3,99
MoFiHaSc,CoFi,2,1
MoFiHaSc,EuMeNe,2,1
MoFiHaSc,FiInIr,2,1
CoFi,mora,3,99
CoFi,kafa,3,99
CoFi,fapa,3,99
mora,CoFi,3,99
kafa,CoFi,3,99
fapa,CoFi,3,99
EuMeNe,mora,3,99
EuMeNe,kafa,3,99
EuMeNe,fapa,3,99
mora,EuMeNe,3,99
kafa,EuMeNe,3,99
fapa,EuMeNe,3,99
FiInIr,mora,3,99
FiInIr,kafa,3,99
FiInIr,fapa,3,99
mora,FiInIr,3,99
kafa,FiInIr,3,99
fapa,FiInIr,3,99
sasa,Syn,1,99
mime,Syn,1,99
oske,Syn,1,99
takl,Syn,1,99
jaja,Syn,1,99
jodo,Syn,1,99
maad,Syn,1,99
olpe,Syn,1,99
rebu,Syn,1,99
SbFi,Syn,1,99
KoFi,Syn,1,99
ArFrCi,Syn,1,99
PiFi,Syn,1,99
AiAuCiDuMo,Syn,2,1
DeFö,Syn,2,1
Fi,Syn,2,1
CeNaDuCiEtDeLiAn,Syn,2,1
sasa,mime,3,99
sasa,oske,3,99
sasa,takl,3,99
sasa,jaja,3,99
sasa,jodo,3,99
sasa,maad,3,99
sasa,olpe,3,99
sasa,rebu,3,99
mime,sasa,3,99
mime,olpe,3,99
mime,oske,3,99
mime,takl,3,99
mime,jaja,3,99
mime,jodo,3,99
mime,maad,3,99
oske,sasa,3,99
oske,mime,3,99
oske,rebu,3,99
oske,takl,3,99
oske,jaja,3,99
oske,jodo,3,99
oske,maad,3,99
oske,olpe,3,99
takl,sasa,3,99
takl,mime,3,99
takl,oske,3,99
takl,rebu,3,99
takl,jaja,3,99
takl,jodo,3,99
takl,maad,3,99
takl,olpe,3,99
jaja,sasa,3,99
jaja,mime,3,99
jaja,oske,3,99
jaja,takl,3,99
jaja,rebu,3,99
jaja,jodo,3,99
